ID,TIPID,FY21allocation,FY22allocation,FY23allocation,FY24allocation,FY25allocation
29,1116,1.0,1.0,1.0,1.0,1.0
30,1117,0.15,0.15,0.15,0.15,0.15
31,1118,1.0,1.0,1.0,1.0,1.0
32,1264,0.0,0.0,0.0,0.0,0.0
33,1265,2.5,2.5,2.5,2.5,2.5
34,1267,0.0,0.0,0.0,0.0,0.0
35,1268,0.0,0.0,0.0,0.0,0.0
36,1269,0.0,0.0,0.0,0.0,0.0
37,1270,0.1,4.2,4.2,0.0,0.0
38,1271,0.0,0.0,0.0,0.0,0.0
39,1272,0.0,0.2,1.9,0.0,0.0
40,1273,0.0,0.0,0.0,0.0,0.0
41,1274,0.0,0.0,0.5,6.8,11.2
42,1275,0.0,0.0,0.0,0.5,15.5
43,1276,0.0,0.0,0.0,0.9,9.1
44,1277,0.0,0.0,0.0,0.0,0.0
45,1279,3.3,5.9,0.0,0.0,0.0
46,1280,0.0,0.0,0.0,0.9,9.6
47,1281,0.0,0.0,0.2,2.2,0.0
48,1283,0.0,0.0,0.0,0.7,7.3
49,1284,0.0,0.0,0.0,0.0,0.0
50,1285,0.0,0.0,0.6,3.2,3.2
51,1286,0.0,0.0,0.0,0.0,0.0
52,1287,0.0,0.0,0.0,0.5,5.0
53,1289,0.0,0.3,5.4,0.0,0.0
54,1290,1.4,0.0,0.0,0.0,0.0
55,1291,0.0,0.0,0.0,0.0,0.0
56,1292,0.0,4.5,0.4,0.0,0.0
57,1293,0.0,0.8,8.0,0.0,0.0
58,1294,0.0,0.0,0.0,0.1,2.2
59,1295,0.2,2.5,0.0,0.0,0.0
60,1296,0.0,0.0,0.0,0.0,0.0
61,1297,0.0,0.0,0.2,2.0,0.0
62,1298,0.0,0.0,0.4,3.8,0.0
63,1299,0.25,1.3,0.0,0.0,0.0
64,1300,0.0,0.0,0.0,0.0,0.0
65,1301,0.0,0.0,0.5,2.3,3.3
66,1302,0.0,0.0,0.0,0.0,0.0
67,1304,0.0,0.0,0.0,0.1,1.4
68,1305,0.0,0.0,0.0,0.0,0.0
69,1306,0.0,0.3,2.7,0.0,0.0
70,1307,0.0,0.2,1.7,0.0,0.0
71,1308,1.9,0.0,0.0,0.0,0.0
72,1309,0.5,0.0,0.0,0.0,0.0
73,1311,0.0,0.0,0.0,0.1,0.35
74,1313,0.0,0.0,0.0,0.3,2.9
75,1314,0.0,0.0,0.0,0.0,0.0
76,1315,0.0,0.0,0.0,0.3,3.5
77,1316,0.0,0.0,0.0,0.0,0.0
78,1317,0.0,0.0,2.1,0.0,0.0
79,1318,0.0,0.35,3.75,0.0,0.0
80,1319,0.0,0.1,0.4,0.0,0.0
81,1321,0.0,0.0,0.2,1.7,0.0
82,1322,0.0,0.0,0.2,1.9,0.0
83,1323,0.0,0.0,0.0,0.0,0.0
84,1324,0.0,0.0,0.1,1.6,0.0
85,1325,0.0,0.0,0.0,0.0,0.0
86,1326,0.0,0.0,0.4,2.4,2.0
87,1327,0.0,0.0,0.0,0.0,0.0
88,1328,0.0,0.0,0.0,0.0,0.0
89,1329,0.0,0.0,0.0,0.0,0.0
90,1330,0.0,0.0,0.0,0.0,0.0
91,1331,0.0,0.2,1.7,0.0,0.0
92,1332,0.0,0.0,0.0,0.05,0.55
93,1333,0.0,0.0,0.0,0.05,0.65
94,1334,1.3,0.0,0.0,0.0,0.0
95,1335,0.0,0.0,0.0,0.0,0.0
96,1336,0.0,0.1,1.3,0.0,0.0
97,1337,0.0,0.15,1.3,0.0,0.0
98,1338,0.0,0.0,0.0,0.0,0.0
99,1339,5.7,0.0,0.0,0.0,0.0
100,1340,0.0,0.0,0.2,2.0,0.0
101,1341,0.0,0.0,0.0,0.2,1.9
102,1342,0.0,0.1,0.6,0.0,0.0
103,1343,0.0,0.0,0.0,0.0,0.0
104,1346,0.0,0.1,1.0,0.0,0.0
105,1347,0.4,2.6,0.0,0.0,0.0
106,1348,0.2,1.3,0.0,0.0,0.0
107,1349,0.0,0.0,0.0,0.05,0.35
108,1350,0.0,0.0,0.0,0.2,1.9
109,1351,0.0,0.0,0.2,1.6,0.0
110,1352,2.5,0.0,0.0,0.0,0.0
111,1353,0.0,0.0,0.0,0.0,0.0
112,1354,0.0,0.0,0.1,1.2,0.0
113,1355,0.0,0.0,0.1,0.0,0.7
114,1357,0.0,0.0,0.0,0.1,1.5
115,1358,0.0,0.0,0.0,0.0,0.0
116,1359,0.0,0.0,0.0,0.1,1.6
117,1360,0.0,0.0,0.0,0.0,0.0
118,1361,0.0,0.0,0.0,0.0,0.0
119,1362,0.0,0.4,3.0,1.0,0.0
120,1364,0.0,0.0,0.0,0.0,0.0
121,1365,0.0,0.0,0.4,4.2,0.0
122,1366,0.0,0.0,0.0,0.0,0.0
123,1367,0.0,0.0,0.0,0.1,0.9
124,1368,0.0,0.0,0.0,0.0,0.0
125,1369,0.0,0.0,0.0,0.2,1.4
126,1370,0.0,0.0,0.0,0.2,1.9
127,1371,0.0,0.1,1.3,0.0,0.0
128,1372,0.0,0.0,0.1,1.25,0.0
129,1373,0.0,0.0,0.0,0.0,0.0
130,1375,0.0,0.2,2.6,0.0,0.0
131,1376,0.0,0.24,1.3,1.2,0.0
132,1377,0.0,0.1,0.9,0.0,0.0
133,1378,0.0,0.0,0.0,0.0,0.0
134,1379,4.6,9.5,0.6,0.0,0.0
135,1380,0.3,3.6,0.0,0.0,0.0
136,1381,0.0,0.0,0.0,0.0,0.0
137,1384,0.0,0.0,0.0,0.0,0.0
138,1386,0.0,0.2,2.5,0.0,0.0
139,1387,0.0,0.0,0.0,0.1,1.1
140,1388,0.0,0.0,0.0,0.0,0.0
141,1389,0.0,0.0,0.0,0.0,0.0
142,1390,0.0,0.0,0.0,0.0,0.0
143,1391,0.0,0.0,0.0,0.0,0.0
144,1392,0.0,0.0,0.4,4.4,0.0
145,1393,0.0,0.0,0.0,0.0,0.0
146,1394,0.0,0.0,0.0,0.4,4.3
147,1395,0.0,0.0,0.0,0.0,0.0
148,1397,0.3,6.3,0.0,0.0,0.0
149,1398,0.0,0.0,0.0,0.0,0.0
150,1399,4.3,0.0,0.0,0.0,0.0
151,1400,0.0,0.0,0.1,1.3,0.0
152,1401,0.0,0.0,0.0,0.0,0.0
153,1402,0.0,0.3,2.5,0.0,0.0
154,1403,4.1,0.0,0.0,0.0,0.0
155,1404,1.6,0.0,0.0,0.0,0.0
156,1405,0.0,0.0,0.3,3.3,0.0
157,1406,0.0,0.0,0.0,0.1,1.1
158,1407,0.0,0.0,0.0,0.15,1.25
159,1408,0.0,0.0,0.1,0.6,0.0
160,1409,0.0,0.0,0.6,3.4,3.2
161,1410,0.0,0.0,0.4,4.0,0.0
162,1411,0.4,3.6,0.0,0.0,0.0
163,1412,0.0,0.0,0.0,0.2,2.5
164,1413,0.0,0.0,0.0,0.5,4.2
165,1414,3.2,0.0,0.0,0.0,0.0
166,1415,0.0,0.0,0.0,0.0,0.0
167,1416,1.3,0.0,0.0,0.0,0.0
168,1417,0.0,1.3,0.15,0.5,0.0
169,1418,0.0,0.0,0.0,0.0,0.0
170,1419,0.0,0.0,0.0,0.0,0.0
171,1420,0.0,0.0,0.0,0.2,1.8
172,1421,0.0,0.0,0.0,0.0,0.0
173,1423,0.0,0.0,0.5,4.4,1.1
174,1424,0.0,0.0,0.0,0.0,0.0
175,1425,0.0,0.0,0.0,0.0,0.0
176,1427,9.0,9.0,9.0,9.0,9.0
177,1430,0.0,0.0,0.0,0.0,0.0
178,1431,0.4,0.4,0.4,0.4,0.4
179,1439,0.0,0.0,0.0,0.0,0.0
180,1444,0.0,0.0,0.0,0.0,0.0
181,1445,0.3,0.3,0.3,0.3,0.3
182,1446,0.5,0.5,0.5,0.5,0.5
183,1450,0.0,0.0,0.0,0.0,0.0
184,1451,0.0,0.0,0.0,0.0,0.0
186,1453,0.0,0.0,0.0,0.0,0.0
187,1454,0.0,0.0,0.0,0.0,0.0
188,1455,0.0,0.0,0.0,0.0,0.0
189,1456,0.0,0.0,0.0,0.0,0.0
190,1457,0.0,0.0,0.0,0.0,0.0
191,1458,0.0,0.0,0.0,0.0,0.0
192,1459,0.0,0.0,0.0,0.0,0.0
193,1460,1.0,1.0,1.13,0.0,0.0
195,1462,0.0,0.0,0.0,0.0,0.0
199,1466,0.0,0.0,0.0,0.0,0.0
200,1467,0.0,0.0,0.0,0.0,0.0
201,1468,0.0,0.0,0.0,0.0,0.0
202,1469,0.0,0.0,0.0,0.0,0.0
203,1470,0.0,0.0,0.0,0.0,0.0
209,1476,0.0,0.0,0.0,0.0,0.0
211,1478,0.0,0.0,0.0,0.0,0.0
213,1484,0.0,0.0,0.0,0.0,0.0
214,1485,0.0,0.0,0.0,0.0,0.0
218,1491,0.0,0.0,0.0,0.0,0.0
225,1498,0.0,0.0,0.0,0.0,0.0
233,1506,0.0,0.0,0.0,0.0,0.0
236,1509,0.0,0.0,0.0,0.0,0.0
237,1510,1.45,0.0,0.0,0.0,0.0
239,1512,3.8,0.0,0.0,0.0,0.0
241,1514,0.0,0.0,0.0,0.0,0.0
248,1521,1.2,0.0,0.0,0.0,0.0
249,1522,1.8,0.6,0.0,0.0,0.0
252,1525,1.2,0.2,0.0,0.0,0.0
253,1526,0.1,1.2,0.0,0.0,0.0
255,1528,0.2,3.8,0.0,0.0,0.0
258,1531,0.1,1.8,0.0,0.0,0.0
259,1532,0.1,1.8,0.0,0.0,0.0
262,1535,0.1,0.6,0.6,0.0,0.0
263,1536,0.1,0.1,0.1,1.1,0.0
264,1537,0.1,0.1,1.3,1.3,0.0
265,1538,0.0,0.0,0.4688,0.4688,0.0
267,1540,0.2,0.2,0.0,1.9,0.0
268,1541,0.5,0.5,1.4,5.4,0.0
269,1542,0.3,0.3,1.3,1.3,0.0
271,1544,0.33,0.6,4.4,5.0,0.0
303,1576,0.0,0.0,0.0,0.7,6.9
304,1578,0.0,0.0,0.0,0.85,4.4
305,1579,0.0,0.0,0.6,6.4,0.0
306,5001,0.021,0.0,0.0,0.0,0.0
307,5002,0.024,0.0,0.0,0.0,0.0
308,5004,0.0,0.0,0.0,0.0,0.0
309,5005,0.0,0.17,0.0,0.62,9.61
310,5007,0.0,0.0,0.0,0.0,0.82
311,5008,0.0,0.0,0.0,0.0,0.0
312,5009,0.0,0.0,0.0,0.0,0.0
313,5010,0.0,0.0,0.0,0.0,0.0
314,5011,0.0,0.0,0.0,0.0,0.0
315,5014,0.0,0.0,0.0,0.0,0.0
316,5015,0.0,0.0,0.0,0.0,0.0
317,5018,0.0,0.0,0.0,0.0,0.0
318,5019,0.0,0.0,0.0,0.0,0.0
319,5021,0.0245,0.0,0.0,0.0,0.0
320,5022,0.0,0.0,0.0,0.0,0.0
321,5024,0.5,0.0,,1.0,0.0
322,5025,0.0,0.0,0.0,0.0,0.0
323,5026,0.0,0.0,0.0,0.0,0.0
324,5027,0.0,0.0,0.0,0.0,0.0
325,5028,0.0,0.0,0.0,0.0,0.0
326,5029,0.0,0.0,0.0,0.0,0.0
327,5030,0.0,0.0,0.0,0.0,0.0
328,5031,0.0,0.0,0.0,0.0,0.0
329,5032,0.0,0.0,0.0,0.0,0.0
330,5034,0.0,0.0,0.0,0.0,0.0
331,5035,0.0,0.0,0.0,0.0,0.0
332,5036,0.0,0.3,0.2,0.0,0.0
333,5038,0.0,0.0,0.0,0.0,0.0
334,5039,0.016,0.0,0.0,0.0,0.0
335,5040,0.0085,0.0,0.0,0.0,0.0
336,5041,0.0,0.0,0.0,0.0,0.0
337,5044,0.0,0.0,0.0,0.0,0.0
338,5045,0.0,0.0,0.0,0.0,2.5
339,5046,0.0,0.0,0.0,0.0,0.0
340,5048,0.0,0.0,0.0,0.0,0.0
341,5049,0.0,0.0,0.0,0.0,0.0
342,5050,0.0,0.0,0.0,0.0,0.0
343,5052,0.0,0.0,0.0,0.0,0.0
344,5056,0.0,0.0,0.0,0.0,0.0
345,5057,0.0,0.0,0.0,0.0,0.0
346,5058,0.0,0.0,0.0,0.0,0.0
347,5060,0.0,0.8,0.0,0.0,0.0
348,5061,0.0,0.0,0.0,0.0,0.0
349,5067,0.0,0.0,0.0,0.0,0.0
350,5069,0.3,0.2,0.0,0.0,0.0
351,5070,0.0,0.0,0.0,0.0,0.0
352,5071,0.0,0.0,0.0,0.0,0.0
353,5072,0.28,0.36,0.0,0.0,0.0
354,5078,0.0,0.0,0.0,0.0,0.0
355,5083,0.0,0.0,0.0,0.0,0.0
356,5085,0.0,0.0,0.0,0.0,0.0
357,5088,0.04,0.0,0.0,0.0,0.0
358,5089,2.25,1.89,0.92,0.0,0.0
359,5090,0.0,0.0,0.0,0.0,0.0
360,5091,0.0,0.0,0.0,0.0,0.0
361,5092,0.0,0.0,0.0,0.0,0.0
362,5095,0.0,0.0,0.0,0.0,0.0
363,5096,0.0,0.0,0.0,0.0,0.0
364,5097,0.0,0.0,0.0,0.0,0.0
365,5098,0.0,0.0,0.0,0.0,0.0
366,5099,0.0,0.0,0.0,0.0,0.0
367,5100,0.0,0.0,0.0,0.0,0.0
368,5101,0.0,0.0,0.0,0.0,0.0
369,5102,0.0,0.0,0.0,0.0,0.0
370,5103,0.0,0.0,0.0,0.0,0.0
371,5104,0.0,0.0,0.0,0.0,0.0
372,5105,1.7,1.7,1.99,1.15,1.96
373,5106,0.0,0.0,0.0,0.0,0.0
374,5107,0.0,0.0,0.0,0.0,0.0
375,5108,1.9,0.0,0.0,0.0,0.0
376,5109,0.23,0.0,0.0,0.0,0.0
377,5112,0.0,0.0,0.0,0.0,0.0
378,5114,0.0,0.0,0.0,0.0,0.0
379,5115,0.0,0.0,0.0,0.0,0.0
380,5120,0.0,0.0,0.0,0.0,0.0
381,5121,0.0,0.0,0.0,0.0,0.0
382,5122,0.0,0.0,0.0,0.0,0.0
383,5125,0.0,0.0,0.0,0.0,0.0
384,5126,0.0,0.0,0.0,0.0,0.0
385,5128,1.4,,0.0,0.0,0.0
386,5129,0.0,0.0,0.0,0.0,0.0
387,5130,0.0,0.0,0.0,0.0,0.0
388,5133,0.0,0.0,0.0,0.0,0.0
389,5134,0.0,0.0,0.0,0.0,0.0
390,5135,0.0,0.0,0.5,0.0,0.0
391,5136,0.0,0.0,0.3,0.2,0.0
392,5137,0.0,0.0,0.0,0.5,0.0
393,5138,0.0,0.0,0.0,0.3,0.2
394,5139,0.0,0.0,0.0,0.0,0.5
395,5140,0.0,0.0,0.0,0.0,0.3
396,5141,0.0,0.0,0.0,0.0,0.0
397,5142,0.0,0.0,0.0,0.0,0.0
398,5143,0.0,0.0,0.0,0.0,0.0
399,5144,0.0,0.0,0.0,0.0,0.0
400,5145,0.0,0.0,0.0,0.0,0.0
401,5146,0.0,0.0,0.0,0.0,0.0
402,5147,0.0,0.0,0.0,0.0,0.0
403,5148,0.0,0.0,0.0,0.0,0.0
404,5149,0.0,0.0,0.0,0.0,0.0
405,5151,0.0,0.0,0.0,0.0,0.0
406,5155,0.0,0.0,0.0,0.0,0.0
407,5156,0.0,0.0,0.0,0.0,0.0
408,5157,0.0,0.0,0.0,0.5,0.0
409,5158,0.0,0.0,0.0,0.0,0.0
410,5159,0.0,0.0,0.0,0.0,0.0
411,5161,0.0,0.0,0.0,2.16,0.0
412,5162,0.0,0.0,0.16,0.0,0.0
413,5164,2.0,0.0,0.0,0.0,0.0
414,5165,0.0,0.0,0.0,0.0,0.0
415,5166,0.0,0.0,0.0,0.0,0.0
416,5167,0.0,0.0,0.0,0.0,0.0
417,5168,0.0,0.0,0.0,0.0,0.0
418,5170,0.0,0.0,0.0,0.0,0.0
419,5171,0.0,0.08,0.0,0.0,0.0
420,5174,0.0,0.0,0.0,0.0,0.0
421,5175,0.2,0.0,0.0,0.0,0.0
422,5176,0.5,0.0,0.0,0.0,0.0
423,5178,1.88,0.0,0.0,0.0,0.0
424,5179,0.0,0.0,0.0,0.0,0.0
425,5180,0.0,0.0,0.0,0.0,0.0
426,5181,0.0,0.0,0.0,0.0,0.0
427,5182,0.0,0.0,0.48,0.0,0.0
428,5183,0.0,0.0,0.0,0.0,0.0
430,5185,0.0,0.0,0.0,0.0,0.0
431,5186,0.0,0.0,0.0,0.0,0.0
432,5191,0.0,0.0,0.0,0.0,0.0
433,5193,0.0,0.0,0.0,0.0,0.0
434,5194,0.0,0.0,0.0,0.0,0.0
435,5195,0.0,0.0,0.0,0.0,0.0
436,5196,0.0,0.0,0.0,0.0,0.0
437,5199,0.0,0.0,0.5,0.55,0.75
438,5200,0.0,0.0,0.0,0.0,0.05
439,5201,0.0,0.0,0.0,0.0,0.0
440,5202,0.0,1.0,1.0,1.0,1.05
441,5204,0.0,0.0,0.0,0.0,0.0
442,5205,0.0,0.0,0.0,0.0,0.0
443,5209,0.0,0.0,0.0,0.0,0.0
444,5212,0.0,0.0,0.0,0.0,0.0
445,5214,0.0,0.0,0.0,0.0,0.0
446,5215,0.0,0.86,0.0,0.85,0.0
447,5217,0.0,0.0,0.0,0.0,0.0
448,5218,0.0,0.0,0.0,0.0,0.0
