ID_x,TIPID,FY17state,FY175307,FY175339,FY175310,FY175311,FY17CMAQ,FY175337,FY18state,FY185307,FY185339,FY185310,FY185311,FY18CMAQ,FY185337,FY19state,FY195307,FY195339,FY195310,FY195311,FY19CMAQ,FY195337,FY20state,FY205307,FY205339,FY205310,FY205311,FY20CMAQ,FY205337,FY21state,FY215307,FY215339,FY215310,FY215311,FY21CMAQ,FY215337,FY22state,FY225307,FY225339,FY225310,FY225311,FY22CMAQ,FY23state,FY235307,FY235339,FY235310,FY235311,FY23CMAQ,FY24state,FY245307,FY245339,FY245310,FY245311,FY24CMAQ,FY25state,FY255307,FY255339,FY255310,FY255311,FY25CMAQ,TIPprogram,ID_y,FY16state,FY165307,FY165339,FY165310,FY165311,FY16CMAQ,FY16TigerGrant,FY16RICAPhwm,FY165337
20.0,7001.0,1.1438,,2.952,,,,3.3,1.8267,1.02,2.9836,,,,3.3,1.8349,0.92,3.0162,,,,3.4,1.8432,0.82,3.0494,,,,3.5,4.1303,0.14,3.0494,,,,2.5,1.8432,4.3234,3.0494,,,,1.8432,4.3234,3.0494,,,,1.8432,4.3234,3.0494,,,,1.8432,4.3234,3.0494,,,,Toll Operations,1.0,2.43,7.12,2.6,,,,,,
21.0,7002.0,0.46,0.84,,1.0,,,,0.46,0.84,,1.02,,,,0.47,0.84,,1.04,,,,0.48,0.84,,1.06,,,,0.48,0.84,,1.06,,,,0.48,0.84,,1.06,,,0.48,0.84,,1.06,,,0.48,0.84,,1.06,,,0.48,0.84,,1.06,,,Toll Operations,2.0,0.58,1.2,1.12,,,,,,
23.0,7004.0,1.4053,5.6214,,,,,,0.71,2.84,,,,,,0.7195,2.8779,,,,,,0.7278,2.9112,,,,,,0.7389,2.9556,,,,,,0.7389,2.9556,,,,,0.7389,2.9556,,,,,0.7389,2.9556,,,,,0.7389,2.9556,,,,,Toll Operations,3.0,0.696,2.784,,,,,,,
24.0,7005.0,0.8144,,,,0.8144,,,0.8334,,,,0.8334,,,0.8529,,,,0.8529,,,0.8729,,,,0.8729,,,0.8729,,,,0.8729,,,0.8729,,,,0.8729,,0.8729,,,,0.8729,,0.8729,,,,0.8729,,0.8729,,,,0.8729,,Toll Operations,4.0,0.12,,,,0.12,,,,
25.0,7006.0,,,,,0.0741,,,,,,,0.0757,,,,,,,0.0773,,,,,,,0.0789,,,,,,,0.0789,,,,,,,0.0789,,,,,,0.0789,,,,,,0.0789,,,,,,0.0789,,Toll Operations,5.0,0.669,,,,0.741,,,,
26.0,7007.0,0.625,0.625,,,,,,0.625,0.625,,,,,,0.625,0.625,,,,,,0.625,0.625,,,,,,0.625,0.625,,,,,,0.625,0.625,,,,,0.625,0.625,,,,,0.625,0.625,,,,,0.625,0.625,,,,,Toll Operations,20.0,0.59,0.59,,,,,,,
27.0,7008.0,0.3406,1.3625,,,,,,0.3053,1.2213,,,,,,0.3155,1.2619,,,,,,0.3048,1.2192,,,,,,0.4,1.6,,,,,,0.4,1.6,,,,,0.4,1.6,,,,,0.4,1.6,,,,,0.4,1.6,,,,,Toll Operations,6.0,0.508,2.032,,,,,,,
28.0,7009.0,0.4111,1.6445,,,,,,0.5216,2.0864,,,,,,0.4533,1.8131,,,,,,0.3799,1.5195,,,,,,0.4538,1.815,,,,,,0.4673,1.87,,,,,0.4758,1.9032,,,,,0.179,0.716,,,,,0.179,0.716,,,,,Toll Operations,7.0,0.494,1.976,,,,,,,
29.0,7010.0,3.4237,13.695,,,,,,3.52,14.0836,,,,,,3.62,14.473,,,,,,3.72,14.8737,,,,,,3.82,15.2861,,,,,,3.93,15.71,,,,,4.04,16.1473,,,,,4.15,16.5968,,,,,4.26,17.0594,,,,,Toll Operations,8.0,2.95,11.8,,,,,,,
30.0,7011.0,0.14,0.56,,,,,,0.11,0.42,,,,,,0.12,0.46,,,,,,0.15,0.61,,,,,,0.2,0.8,,,,,,0.2,0.8,,,,,0.2,0.8,,,,,0.2,0.8,,,,,0.2,0.8,,,,,Toll Operations,9.0,0.2,0.8,,,,,,,
31.0,7012.0,0.14,0.56,,,,,,0.11,0.42,,,,,,0.12,0.46,,,,,,0.15,0.61,,,,,,0.2,0.8,,,,,,0.2,0.8,,,,,0.2,0.8,,,,,0.2,0.8,,,,,0.2,0.8,,,,,Toll Operations,10.0,0.14,0.56,,,,,,,
32.0,7013.0,0.22,0.89,,,,,,0.23,0.909,,,,,,0.23,0.9345,,,,,,0.24,0.9609,,,,,,0.25,0.9882,,,,,,0.25,1.0165,,,,,0.26,1.0458,,,,,0.27,1.0762,,,,,0.28,1.1078,,,,,Toll Operations,11.0,0.208,0.832,,,,,,,
33.0,7014.0,0.25,0.9818,,,,,,0.25,1.0114,,,,,,0.26,1.043,,,,,,0.27,1.0759,,,,,,0.28,1.1102,,,,,,0.29,1.1459,,,,,0.3,1.1831,,,,,0.31,1.2219,,,,,0.32,1.2623,,,,,Toll Operations,12.0,0.24,0.96,,,,,,,
34.0,7015.0,0.45,,,,,1.8,,0.45,,,,,1.8,,0.45,,,,,1.8,,0.45,,,,,1.8,,0.45,,,,,1.8,,0.45,,,,,1.8,0.45,,,,,1.8,0.45,,,,,1.8,0.45,,,,,1.8,Toll Operations,16.0,0.24,,,,,0.96,,,
35.0,7016.0,0.1,,,,,0.4,,0.1,,,,,0.4,,0.1,,,,,0.4,,0.1,,,,,0.4,,0.1,,,,,0.4,,0.1,,,,,0.4,0.1,,,,,0.4,0.1,,,,,0.4,0.1,,,,,0.4,Toll Operations,15.0,,,,,,0.5,,,
36.0,7017.0,0.125,,,,,0.5,,0.125,,,,,0.5,,0.125,,,,,0.5,,0.125,,,,,0.5,,0.125,,,,,0.5,,0.125,,,,,0.5,0.125,,,,,0.5,0.125,,,,,0.5,0.125,,,,,0.5,Toll Operations,,,,,,,,,,
37.0,7018.0,,,,,,0.6,,,,,,,0.6,,,,,,,0.6,,,,,,,0.6,,,,,,,0.6,,,,,,,0.6,,,,,,0.6,,,,,,0.6,,,,,,0.6,Toll Operations,17.0,0.1,,,,,0.4,,,
,7019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,0.01,,,,,,,,0.05
,7020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,13.0,4.0,
,7021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,0.5,,,
,7022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,0.22,,,,,0.88,,,
